rank,name,team,position,salary,projected_underdog,ceiling,floor,value,ppg,rpg,apg,threes,stl,blk,to,gp
473,Thanasis Antetokounmpo,MIL,F,3500,3.27,4.1,2.5,1.17,1.3,0.6,0.1,0.0,0.4,0.2,0.2,17
474,Dario Šarić,DET,F,3500,3.04,3.8,2.3,1.09,1.0,1.2,0.4,0.2,0.0,0.0,0.4,5
475,Joe Ingles,MIN,F,3500,2.91,3.6,2.2,1.03,0.6,0.3,0.8,0.1,0.4,0.0,0.3,18
476,Khaman Maluach,PHX,F,3500,2.88,3.6,2.2,1.03,1.1,0.9,0.1,0.0,0.0,0.4,0.5,22
477,Pacôme Dadiet,NYK,F,3500,2.79,3.5,2.1,1.0,0.7,0.7,0.5,0.1,0.2,0.0,0.0,20
478,Jacob Toppin,ATL,F,3500,2.54,3.2,1.9,0.91,1.6,0.2,0.2,0.0,0.0,0.2,0.0,5
479,Bismack Biyombo,SAS,F,3500,2.22,2.8,1.7,0.8,0.7,0.6,0.2,0.0,0.2,0.1,0.2,13
480,Tyson Etienne,BKN,F,3500,2.1,2.6,1.6,0.74,1.5,0.0,0.1,0.5,0.0,0.0,0.1,8
481,Hunter Sallis,PHI,F,3500,1.87,2.3,1.4,0.66,1.0,0.1,0.6,0.0,0.0,0.1,0.7,7
482,Garrett Temple,TOR,F,3500,1.71,2.1,1.3,0.6,0.3,0.3,0.3,0.1,0.2,0.1,0.2,13
483,Jahmyl Telfort,LAC,F,3500,0.88,1.1,0.7,0.31,0.1,0.4,0.1,0.0,0.1,0.0,0.1,8
484,Tosan Evbuomwan,CHA,F,3500,0.48,0.6,0.4,0.17,0.0,0.4,0.0,0.0,0.0,0.0,0.0,5
